trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
A_D0_1656,17:10:00,17:10:00,KOS,6,0,0
A_D0_1656,17:12:00,17:12:00,DLU,7,0,0
A_D0_1656,17:13:00,17:13:00,NIEP,8,0,0
A_D0_1656,17:14:00,17:14:00,STY1,9,0,0
A_D0_1656,17:15:00,17:15:00,SLO,10,0,0
A_D0_1656,17:18:00,17:18:00,JAN1,11,0,0
A_D0_1656,17:20:00,17:20:00,MUS1,12,0,0
A_D0_1656,17:21:00,17:21:00,TYS1,13,0,0
A_D0_1656,17:23:00,17:23:00,KOL1,14,0,0
A_D0_1656,17:24:00,17:24:00,PLD,15,0,0
A_D0_1656,17:25:00,17:25:00,PKP,16,0,0
A_D1_0520,05:20:00,05:20:00,PKP,1,0,0
A_D1_0520,05:22:00,05:22:00,KOL2,2,0,0
A_D1_0520,05:24:00,05:24:00,TYS2,3,0,0
A_D1_0520,05:25:00,05:25:00,MUS2,4,0,0
A_D1_0520,05:26:00,05:26:00,JAN2,5,0,0
A_D1_0520,05:28:00,05:28:00,SLO,6,0,0
A_D1_0520,05:31:00,05:31:00,STY2,7,0,0
A_D1_0520,05:33:00,05:33:00,NIEP,8,0,0
A_D1_0520,05:35:00,05:35:00,CHOP,9,0,0
A_D1_0620,06:20:00,06:20:00,PKP,1,0,0
A_D1_0620,06:22:00,06:22:00,KOL2,2,0,0
A_D1_0620,06:24:00,06:24:00,TYS2,3,0,0
A_D1_0620,06:25:00,06:25:00,MUS2,4,0,0
A_D1_0620,06:27:00,06:27:00,JAN2,5,0,0
A_D1_0620,06:29:00,06:29:00,SLO,6,0,0
A_D1_0620,06:32:00,06:32:00,STY2,7,0,0
A_D1_0620,06:34:00,06:34:00,NIEP,8,0,0
A_D1_0620,06:36:00,06:36:00,CHOP,9,0,0
A_D1_0715,07:15:00,07:15:00,PKP,1,0,0
A_D1_0715,07:17:00,07:17:00,KOL2,2,0,0
A_D1_0715,07:19:00,07:19:00,TYS2,3,0,0
A_D1_0715,07:20:00,07:20:00,MUS2,4,0,0
A_D1_0715,07:22:00,07:22:00,JAN2,5,0,0
A_D1_0715,07:24:00,07:24:00,SLO,6,0,0
A_D1_0715,07:27:00,07:27:00,STY2,7,0,0
A_D1_0715,07:29:00,07:29:00,NIEP,8,0,0
A_D1_0715,07:31:00,07:31:00,CHOP,9,0,0
A_D1_0815,08:15:00,08:15:00,PKP,1,0,0
A_D1_0815,08:17:00,08:17:00,KOL2,2,0,0
A_D1_0815,08:19:00,08:19:00,TYS2,3,0,0
A_D1_0815,08:20:00,08:20:00,MUS2,4,0,0
A_D1_0815,08:22:00,08:22:00,JAN2,5,0,0
A_D1_0815,08:24:00,08:24:00,SLO,6,0,0
A_D1_0815,08:27:00,08:27:00,STY2,7,0,0
A_D1_0815,08:29:00,08:29:00,NIEP,8,0,0
A_D1_0815,08:31:00,08:31:00,CHOP,9,0,0
A_D1_0950,09:50:00,09:50:00,PKP,1,0,0
A_D1_0950,09:52:00,09:52:00,KOL2,2,0,0
A_D1_0950,09:54:00,09:54:00,TYS2,3,0,0
A_D1_0950,09:55:00,09:55:00,MUS2,4,0,0
A_D1_0950,09:57:00,09:57:00,JAN2,5,0,0
A_D1_0950,09:59:00,09:59:00,SLO,6,0,0
A_D1_0950,10:01:00,10:01:00,STY2,7,0,0
A_D1_0950,10:03:00,10:03:00,NIEP,8,0,0
A_D1_0950,10:05:00,10:05:00,CHOP,9,0,0
A_D1_1314,13:14:00,13:14:00,PKP,1,0,0
A_D1_1314,13:16:00,13:16:00,KOL2,2,0,0
A_D1_1314,13:18:00,13:18:00,TYS2,3,0,0
A_D1_1314,13:19:00,13:19:00,MUS2,4,0,0
A_D1_1314,13:21:00,13:21:00,JAN2,5,0,0
A_D1_1314,13:23:00,13:23:00,SLO,6,0,0
A_D1_1314,13:26:00,13:26:00,STY2,7,0,0
A_D1_1314,13:28:00,13:28:00,NIEP,8,0,0
A_D1_1314,13:30:00,13:30:00,CHOP,9,0,0
A_D1_1420,14:20:00,14:20:00,PKP,1,0,0
A_D1_1420,14:22:00,14:22:00,KOL2,2,0,0
A_D1_1420,14:24:00,14:24:00,TYS2,3,0,0
A_D1_1420,14:25:00,14:25:00,MUS2,4,0,0
A_D1_1420,14:27:00,14:27:00,JAN2,5,0,0
A_D1_1420,14:29:00,14:29:00,SLO,6,0,0
A_D1_1420,14:32:00,14:32:00,STY2,7,0,0
A_D1_1420,14:34:00,14:34:00,NIEP,8,0,0
A_D1_1420,14:36:00,14:36:00,CHOP,9,0,0
A_D1_1523,15:23:00,15:23:00,PKP,1,0,0
A_D1_1523,15:25:00,15:25:00,KOL2,2,0,0
A_D1_1523,15:27:00,15:27:00,TYS2,3,0,0
A_D1_1523,15:28:00,15:28:00,MUS2,4,0,0
A_D1_1523,15:30:00,15:30:00,JAN2,5,0,0
A_D1_1523,15:32:00,15:32:00,SLO,6,0,0
A_D1_1523,15:35:00,15:35:00,STY2,7,0,0
A_D1_1523,15:37:00,15:37:00,NIEP,8,0,0
A_D1_1523,15:39:00,15:39:00,CHOP,9,0,0
A_D1_1640,16:40:00,16:40:00,PKP,1,0,0
A_D1_1640,16:42:00,16:42:00,KOL2,2,0,0
A_D1_1640,16:44:00,16:44:00,TYS2,3,0,0
A_D1_1640,16:45:00,16:45:00,MUS2,4,0,0
A_D1_1640,16:47:00,16:47:00,JAN2,5,0,0
A_D1_1640,16:49:00,16:49:00,SLO,6,0,0
A_D1_1640,16:52:00,16:52:00,STY2,7,0,0
A_D1_1640,16:54:00,16:54:00,NIEP,8,0,0
A_D1_1640,16:56:00,16:56:00,CHOP,9,0,0
A_D1_1740,17:40:00,17:40:00,PKP,1,0,0
A_D1_1740,17:42:00,17:42:00,KOL2,2,0,0
A_D1_1740,17:44:00,17:44:00,TYS2,3,0,0
A_D1_1740,17:45:00,17:45:00,MUS2,4,0,0
A_D1_1740,17:46:00,17:46:00,JAN2,5,0,0
A_D1_1740,17:48:00,17:48:00,SLO,6,0,0
A_D1_1740,17:51:00,17:51:00,STY2,7,0,0
A_D1_1740,17:53:00,17:53:00,NIEP,8,0,0
A_D1_1740,17:55:00,17:55:00,CHOP,9,0,0
